,tick,liquidity_net,liquidity_gross,liquidity_shape,liquidity,price,virtual_ratio,virtual_ratio_upper,ratio,ratio_upper,token0_underlying_virtual,token1_underlying_virtual,token0_underlying,token1_underlying
351,75190,1,1,-211619737874552308913120,141776895336716704074701,1842.031053151253408191009732,1842.031053151253408191009732,1843.873913339460993335806116,1842.031053151253408191009732,1843.873913339460993335806116,0,3043061985045836110986.626953,0,3043.061985045836110986626953
352,75200,-1,1,-211619737874552308913121,141776895336716704074700,1843.873913339460993335806116,1843.873913339460993335806116,1845.718617217365052686453868,1843.873913339460993335806116,1845.718617217365052686453868,0,3044583820374989675037.589896,0,3044.583820374989675037589896
353,75210,164906648656311179831,164906648656311179831,-211454831225895997733290,141941801985373015254531,1845.718617217365052686453868,1845.718617217365052686453868,1847.565166629485164362057940,1845.718617217365052686453868,1847.565166629485164362057940,0,3049649470805819583814.908204,0,3049.649470805819583814908204
354,75220,195339177372254127927,195339177372254127927,-211259492048523743605363,142137141162745269382458,1847.565166629485164362057940,1847.565166629485164362057940,1849.413563422186256315033631,1847.565166629485164362057940,1849.413563422186256315033631,0,3055373602720318661441.401198,0,3055.373602720318661441401198
355,75230,47956569063783774306,47956569063783774306,-211211535479459959831057,142185097731809053156764,1849.413563422186256315033631,1849.413563422186256315033631,1851.263809443680452511568802,1849.413563422186256315033631,1851.263809443680452511568802,0,3057932982883571804216.429205,0,3057.932982883571804216429205
356,75240,-8442501411054778866258,9057862022950445386698,-219654036890514738697315,133742596320754274290506,1851.263809443680452511568802,1851.263809443680452511568802,1853.115906544028920959097560,1851.263809443680452511568802,1853.115906544028920959097560,0,2877801062720723364661.763297,0,2877.801062720723364661763297
357,75250,-2,2,-219654036890514738697317,133742596320754274290504,1853.115906544028920959097560,1853.115906544028920959097560,1854.969856575143723582633245,1853.115906544028920959097560,1854.969856575143723582633245,0,2879240251060969447972.902639,0,2879.240251060969447972902639
358,75260,454314385177666,454314385177666,-219654036436200353519651,133742596775068659468170,1854.969856575143723582633245,1854.969856575143723582633245,1856.825661390789667951810420,1854.969856575143723582633245,1856.825661390789667951810420,0,2880680168924790910030.388834,0,2880.680168924790910030388834
359,75270,-3510048273855300899955,3510048273855300899955,-223164084710055654419606,130232548501213358568215,1856.825661390789667951810420,1856.825661390789667951810420,1858.683322846586160860487398,1856.825661390789667951810420,1858.683322846586160860487398,0,2806480100926546217179.891244,0,2806.480100926546217179891244
360,75280,0,0,-223164084710055654419606,130232548501213358568215,1858.683322846586160860487398,1858.683322846586160860487398,1860.542842800009063760762710,1858.683322846586160860487398,1860.542842800009063760762710,0,2807883621653085787220.485109,0,2807.883621653085787220485109
