,tick,liquidity_net,liquidity_gross,liquidity_shape,liquidity,price,virtual_ratio,virtual_ratio_upper,ratio,ratio_upper,token0_underlying_virtual,token1_underlying_virtual,token0_underlying,token1_underlying
387,-68880,5375358255089922,5375358255089922,7002200372272189821733,7497958478287272485959,0.001020303014301981265062946914,0.001020303014301981265062946914,0.001026442926715724768264730423,0.001020303014301981265062946914,0.001026442926715724768264730423,0,719546274322871430.9433192977,0,0.7195462743228714309433192977
388,-68820,-213264851700251749105,251579535981219119433,6788935520571938072628,7284693626587020736854,0.001026442926715724768264730423,0.001026442926715724768264730423,0.001032619787490807997802699831,0.001026442926715724768264730423,0.001032619787490807997802699831,0,701180463838622197.6433405098,0,0.7011804638386221976433405098
389,-68760,10851451836572277173,10851451836572277173,6799786972408510349801,7295545078423593014027,0.001032619787490807997802699831,0.001032619787490807997802699831,0.001038833818972651164424282425,0.001032619787490807997802699831,0.001038833818972651164424282425,0,704334691241516693.0533944602,0,0.7043346912415166930533944602
390,-68700,5005059045275590653,5005073979311692531,6804792031453785940454,7300550137468868604680,0.001038833818972651164424282425,0.001038833818972651164424282425,0.001045085244844690133593895353,0.001038833818972651164424282425,0.001045085244844690133593895353,0,706935417769644419.4323785624,0,0.7069354177696444194323785624
391,-68640,5176385643063688797,5176385643063688797,6809968417096849629251,7305726523111932293477,0.001045085244844690133593895353,0.001045085244844690133593895353,0.001051374290136428248150551235,0.001045085244844690133593895353,0.001051374290136428248150551235,0,709562053818734304.1796590275,0,0.7095620538187343041796590275
392,-68580,1199889155485491447839,1199889155485491447839,8009857572582341077090,8505615678597423741316,0.001051374290136428248150551235,0.001051374290136428248150551235,0.001057701181231536604694596881,0.001051374290136428248150551235,0.001057701181231536604694596881,0,828582095846040086.2071030805,0,0.8285820958460400862071030805
393,-68520,-54679747400505247122,185459999326014808358,7955177825181835829968,8450935931196918494194,0.001057701181231536604694596881,0.001057701181231536604694596881,0.001064066145876003075285251396,0.001057701181231536604694596881,0.001064066145876003075285251396,0,825728770516868820.3420109659,0,0.8257287705168688203420109659
394,-68460,-24091270842683921363,71909705215850723725,7931086554339151908605,8426844660354234572831,0.001064066145876003075285251396,0.001064066145876003075285251396,0.001070469413186330367785270890,0.001064066145876003075285251396,0.001070469413186330367785270890,0,825848556729922155.6566426907,0,0.8258485567299221556566426907
395,-68400,76091809395688493605,76091809395688493605,8007178363734840402210,8502936469749923066436,0.001070469413186330367785270890,0.001070469413186330367785270890,0.001076911213657783419954287133,0.001070469413186330367785270890,0.001076911213657783419954287133,0,835809260007916434.8058521616,0,0.8358092600079164348058521616
396,-68340,4326051768861748100,4326051768861748100,8011504415503702150310,8507262521518784814536,0.001076911213657783419954287133,0.001076911213657783419954287133,0.001083391779172686424168210124,0.001076911213657783419954287133,0.001083391779172686424168210124,0,838746840446759946.9414169600,0,0.83874684044675994694141696
