,net_value,ETH,USDC,uni_market_net_value,uni_market_base_uncollected,uni_market_quote_uncollected,uni_market_base_in_position,uni_market_quote_in_position,uni_market_position_count
2024-01-01 00:49:00,2285970.525905332711102746813,0,161481.9405609417428375962808,2124488.585344390968265150532,132.7226248961527710342706745,0.02908477436363263135548033775,1128327.804946992388108228018,434.479160941149873654368957,1
2024-01-01 00:50:00,2285970.525905332711102746813,0,161481.9405609417428375962808,2124488.585344390968265150532,132.7226248961527710342706745,0.02908477436363263135548033775,1128327.804946992388108228018,434.479160941149873654368957,1
2024-01-01 00:51:00,2285975.107182778221310452286,0,161481.9405609417428375962808,2124493.166621836478472856005,137.3039023416629787397443506,0.02908477436363263135548033775,1128327.804946992388108228018,434.479160941149873654368957,1
2024-01-01 00:52:00,2285975.107182778221310452286,0,161481.9405609417428375962808,2124493.166621836478472856005,137.3039023416629787397443506,0.02908477436363263135548033775,1128327.804946992388108228018,434.479160941149873654368957,1
2024-01-01 00:53:00,2286175.975583559944199075925,0,161481.9405609417428375962808,2124694.035022618201361479644,139.4455636494563599906758768,0.02913863278529403907221654877,1134450.978048388756936834276,431.8082490612853768517047124,1
2024-01-01 00:54:00,2286575.898475425949009057084,0,161481.9405609417428375962808,2125093.957914484206171460803,145.5245473128783674089352368,0.02922269508485634462765718801,1146699.161264343644518659075,426.4672264682972203578762825,1
2024-01-01 00:55:00,2286576.047051434478226181768,0,161481.9405609417428375962808,2125094.106490492735388585487,145.6009987543281508616508742,0.02925413990432521229847187267,1146699.161264343644518659075,426.4672264682972203578762825,1
2024-01-01 00:56:00,2287166.908752087927161359898,0,161481.9405609417428375962808,2125684.968191146184323763617,154.7533594412513527950573626,0.02930929666902687792750837938,1165076.029539749167182868305,418.457695095150461814722457,1
2024-01-01 00:57:00,2287167.250735438949159488585,0,161481.9405609417428375962808,2125685.310174497206321892304,154.7533594412513527950573626,0.02945830490941219965087227873,1165076.029539749167182868305,418.457695095150461814722457,1
2024-01-01 00:58:00,2287167.250735438949159488585,0,161481.9405609417428375962808,2125685.310174497206321892304,154.7533594412513527950573626,0.02945830490941219965087227873,1165076.029539749167182868305,418.457695095150461814722457,1
2024-01-01 00:59:00,2287167.370549714232654732694,0,161481.9405609417428375962808,2125685.429988772489817136413,154.7533594412513527950573626,0.02951051012431427759844252825,1165076.029539749167182868305,418.457695095150461814722457,1
2024-01-01 01:00:00,2287075.806030621595132209747,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:01:00,2286618.486892012507968480937,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:02:00,2286389.895908004308480147579,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:03:00,2286389.895908004308480147579,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:04:00,2286275.617558324052522775786,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:05:00,2286275.617558324052522775786,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:06:00,2286275.617558324052522775786,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:07:00,2286275.617558324052522775786,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:08:00,2286275.617558324052522775786,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:09:00,2286275.617558324052522775786,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:10:00,2286161.350635336095361120157,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:11:00,2286161.350635336095361120157,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:12:00,2286504.185685519532463115109,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:13:00,2287418.915444858194198096303,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:14:00,2287418.915444858194198096303,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:15:00,2287304.534203513419304046384,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:16:00,2287990.993246322049886892020,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:17:00,2287990.993246322049886892020,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:18:00,2288334.377244179890747434323,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:19:00,2288334.377244179890747434323,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:20:00,2288334.377244179890747434323,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:21:00,2288334.377244179890747434323,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:22:00,2288219.904465808886306684140,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:23:00,2288219.904465808886306684140,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:24:00,2288219.904465808886306684140,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:25:00,2288219.904465808886306684140,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:26:00,2288563.357143900138713976962,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:27:00,2288563.357143900138713976962,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:28:00,2288906.912868098742292407635,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:29:00,2288906.912868098742292407635,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:30:00,2288906.912868098742292407635,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:31:00,2288906.912868098742292407635,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:32:00,2289250.571669321620733594143,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:33:00,2289250.571669321620733594143,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:34:00,2289594.333578494973733800583,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:35:00,2289708.943799777246783293479,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:36:00,2290282.166844444298918873319,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:37:00,2290167.499306589216445109292,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:38:00,2291199.920046756418358837403,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:39:00,2291199.920046756418358837403,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:40:00,2291199.920046756418358837403,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:41:00,2290740.951674869811031067466,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:42:00,2290855.676557961721564290088,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:43:00,2290855.676557961721564290088,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:44:00,2290855.676557961721564290088,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:45:00,2291199.920046756418358837403,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:46:00,2291544.266818925402469752779,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:47:00,2291544.266818925402469752779,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:48:00,2291544.266818925402469752779,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:49:00,2291659.072033531718562119270,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:50:00,2291659.072033531718562119270,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:51:00,2291659.072033531718562119270,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:52:00,2291659.072033531718562119270,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:53:00,2291659.072033531718562119270,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:54:00,2291659.072033531718562119270,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:55:00,2291429.473083692609656667597,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:56:00,2291199.920046756418358837403,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:57:00,2291199.920046756418358837403,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:58:00,2291199.920046756418358837403,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 01:59:00,2291199.920046756418358837403,498.2797910100798696821623605,1143492.120755764478804843400,0E-24,0,0,0,0,0
2024-01-01 02:00:00,2291199.395601752346386379582,164.6294325293977221412985015,0,1912001.830065690623366572458,0.4708915152917939836906887117,0.00002543430737349454809964815008,1145598.906102999999864172865,332.7352355631605981449950869,1
2024-01-01 02:01:00,2290744.216078243584294440299,164.6294325293977221412985015,0,1911698.291656222356689229442,0.4869033945433461820408353881,0.002255466323730576100502579126,1134574.587664484439894068779,337.5224242403794198967101955,1
2024-01-01 02:02:00,2290403.143943397875233235595,164.6294325293977221412985015,0,1911470.910559737679429955257,1.741333912610934610247728892,0.004729555983006484945939313880,1126307.795584490461115244444,341.1134440877509789577020938,1
2024-01-01 02:03:00,2290172.501782200956069492846,164.6294325293977221412985015,0,1911316.043478766030285718521,1.741333912610934610247728892,0.005899622855117378042308849016,1120797.289689211462254264301,343.5077565734796050632875513,1
2024-01-01 02:04:00,2288773.301943548758227026458,164.6294325293977221412985015,0,1910371.176019892531134605021,5.503911969094586596380685100,0.01425199766211428675192225714,1087745.823294728438533263045,357.8786603821645677818654276,1
2024-01-01 02:05:00,2288773.369188983055068571147,164.6294325293977221412985015,0,1910371.243265326827976149710,5.571157403391428141070337868,0.01425199766211428675192225714,1087745.823294728438533263045,357.8786603821645677818654276,1
